,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction
KANK3,-3.33548495014081,4.51072328095178,-32.6633466917082,6.19267379490729e-24,7.83003941844875e-20,44.6589082918096,down
TAL1,-3.07404642120475,2.9666473812483,-31.8857457508691,1.19973024108615e-23,7.83003941844875e-20,43.7236737893748,down
USHBP1,-2.9880974289785,2.58515099107663,-30.8964544393501,2.84594366645282e-23,1.23827008927362e-19,42.8154496789564,down
FABP4,-5.76254581661273,5.15646695722536,-29.6321880471227,8.92289343536595e-23,2.91176320029579e-19,41.9156412850759,down
TNNC1,-4.56445082847454,4.47897298228031,-27.3034779318129,8.2987709342132e-22,1.54748367148979e-18,39.8187051666463,down
ADRB2,-3.6886836180499,4.20663371200648,-27.0700845098126,1.04783195276515e-21,1.70966880993043e-18,39.6223108778679,down
SLC6A4,-8.12836216487629,3.91777646649862,-28.2727739445829,3.21251382964018e-22,8.38658860365865e-19,39.6169261909756,down
BTNL9,-4.05374032370007,4.2026496341302,-26.4325209442295,2.00050680280489e-21,2.87024843563759e-18,38.9510669146656,down
WNT3A,-5.46113232244981,2.50991880276087,-27.314476129232,8.20844959263008e-22,1.54748367148979e-18,38.771250777643,down
CDO1,-3.20341877877966,2.31607087154193,-26.3404628182611,2.19891859008472e-21,2.87024843563759e-18,38.6187446996653,down
NCKAP5,-4.07865359901121,4.37583907327279,-25.9843684637957,3.1792861411714e-21,3.77265654551912e-18,38.5252024814043,down
CLEC1A,-2.43862394927163,2.78218847568797,-25.6927749193515,4.31481270496445e-21,4.69343751982508e-18,38.1578508495505,down
GPIHBP1,-4.06737851778586,4.54454531488173,-25.5460240865372,5.03776030919071e-21,4.69699180827616e-18,38.0802592523839,down
ARHGAP6,-2.65799703805446,3.2884651195639,-25.5675779182719,4.92418366196504e-21,4.69699180827616e-18,38.0711643692021,down
HSPA12B,-3.2703484482209,4.63978803031795,-25.3370466304342,6.29007873063314e-21,5.47362651139696e-18,37.8768943284292,down
ECSCR,-2.58523001738161,3.12446470109339,-25.2638854452647,6.80117870565905e-21,5.54848660281047e-18,37.7482373293496,down
GIMAP1,-2.26870127577502,3.5099341175365,-25.1380466900757,7.78310422196197e-21,5.97605055348645e-18,37.6512615538592,down
FCN3,-5.56314810628785,5.27045063656785,-24.7397570595608,1.19761159624212e-20,8.22759166618339e-18,37.2278374375827,down
SCUBE1,-4.4494864037157,3.06313472586909,-24.8035136099028,1.11730302792748e-20,8.10230912418746e-18,37.0595181514646,down
RTKN2,-4.9909473464844,6.64217610120498,-24.5639313348807,1.4515054690166e-20,9.47325044353682e-18,37.026891149945,down
C19orf59,-5.08186842555702,5.10252787811338,-23.6827811647195,3.8787099024987e-20,2.41089525511026e-17,36.0525321452717,down
